name,description,url,last_month_installs,this_month_installs,installs_m_m_growth,last_month_multiple
Procurement,Optimize your entire procure-to-pay process,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000003HoQQEA0,6,18,12,3.0
360MatchPro by Double the Donation | Matching Gifts Automation,Double eligible donations through employer matching gift fundraising.,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FR4jnUAD,6,15,9,2.5
SimplePDF - Free PDF generator for Salesforce,Your new Salesforce PDF generation tool,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000FgvDEUAZ,11,25,14,2.3
ForeSight - Impact Analysis - Optimizing Org Implementation & Customizations,"Build, test, and release quickly and reliably with Change Intelligence",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FR4VnUAL,51,119,68,2.3
Peeklogic Connector for Salesforce and Jira | PRO,Enhance Salesforce with a Seamless Jira integration,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FMdJ7UAL,16,33,17,2.1
Drift for Salesforce,"Conversational Commerce: Create More Qualified Pipeline and Revenue, Faster",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000FguvjUAB,8,15,7,1.9
Peeklogic Report Scheduler,Peeklogic Report Sender,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000FNBYhUAP,11,21,10,1.9
"Jotform | Forms, surveys, e-signatures, and workflow automation for Salesforce","Powerful form automation, masterfully integrated with Salesforce",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000JTeWyUAL,10,18,8,1.8
"Sellular - Sales Engagement Platform, Email Sequences, Sales Dialer CTI, SMS",Sales Engagement Platform for high performing teams,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000FN9KVUA1,11,20,9,1.8
D&B Credit Check for Salesforce,Automate credit approval process for sales users,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B5UqVEAV,8,14,6,1.8
Extended ECM | Document Management for Salesforce,Automate your content management,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000000rKtkEAE,10,18,8,1.8
DESelect Search in SFMC,Find objects in SFMC in seconds with the robust DESelect Search.,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000Fz2a4UAB,9,16,7,1.8
FranFast - Franchise Management System for Franchisors to better manage their franchisees,A Franchise Management Suite for emerging or mature franchisors,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000HNWesUAH,6,10,4,1.7
Cloudbyz eClinical,Unified Clinical Trials Management on Force.com Cloud,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B56ueEAB,12,20,8,1.7
Streams,Connect APIs and data in Flow,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B5Z0LEAV,19,31,12,1.6
mDrafty | The First Email Service App in Salesforce 💌,Email Service App that keeps your whole Email Communication in Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000FgsJcUAJ,7,11,4,1.6
Lightning Mass Approval,Save time by mass approving records in Salesforce.,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N4V00000GGG6RUAX,25,39,14,1.6
TrackWise Digital Enterprise Quality Management System (EQMS) by Sparta Systems,Shaping the future of quality management,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3000000B4JD4EAN,15,23,8,1.5
REDA - The Property Management ERP,Simplify Complex Problems Through Meaningful Solutions,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000G0yZOUAZ,6,9,3,1.5
Documill for Office – Instantly Save & Update Office Documents to Salesforce,Hassle-free Microsoft Office integration with Salesforce,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N30000009wiN8EAI,6,9,3,1.5
Kcloud Mass Actions - Mass Edit | Mass Delete | Mass Update |Merge Duplicates,"Merge Duplicate, Mass Edit, Mass Delete, Mass Update on all objects",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000EFo6iUAD,89,132,43,1.5
"conemis - Salesforce Migration, Automated.",Accelerating Salesforce Migration with Automation - conemis,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FtTLXUA3,6,9,3,1.5
"Flowdometer - Timeline Tracking, SLA tracking, Stage Duration, Cycle Time","Your team, accountable to consistent timelines",https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000GB0VkUAL,15,22,7,1.5
Left Main,The Best Industry CRM for Real Estate,https://appexchange.salesforce.com/appxListingDetail?listingId=a0N3A00000FMnPoUAL,27,40,13,1.5
